adidu,arr_ville,type,pop2021,log_priv2021,mono_pr,imm_recent_pr,autoch_minor_pr,sans_diplome_pr,pr_men_bil,pr_ind_mpc,pr_log_autor_axes_ps,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_tc,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_CultSportLoisir_2quintiles,Indice_emv
24660001,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,651,266,14.70588235294118,0,7.627118644067797,11.86440677966102,0,5.1,0,0,100,0,0,34.76315789,1.714285714,115.5676692,0.3120300752,1.781954887,0.507518797,0.4661654135,210.011436,3860,0,7.030075188,9.046088815294567,-0.9283188876524805,-1.1090253130413907,-0.36150806238438465,-1.175247725105851,-1.1396899256759287,-0.4491573374691347,0,0,0,0,1,1,2
24660002,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,542,198,11.76470588235294,1.923076923076923,11.53846153846154,10.3448275862069,0,0,0,0,55.55555555555556,0,0,53.02020202,2,156.2878788,1,3,1,0.7575757576,253.133836,3860,0,7.787878788,8.609630433083556,-0.960107254117761,-1.4736000123326305,-0.7757431081685019,-1.0947566992129931,-0.9494088122115699,-0.33340095006758497,0,0,0,0,1,1,2
24660003,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,303,130,12.5,0,10.16949152542373,15.15151515151515,0,0,0,0,100,0,0,35.53846154,1.338461538,114.7307692,0.2307692308,2.338461538,0.6692307692,0,203.688258,3860,0,4,7.912477354606866,-0.86392227194403,-1.473600012332629,-0.3615080623840756,-1.18148142630323,-1.1671719298445964,-0.8902218026939613,0,0,0,0,1,1,2
24660004,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,273,116,15,0,0,0,NA,0,0,0,0,0,0,51.27586207,2,156.1034483,1,3,1,1,253.880316,3860,0,9,8.63986812399249,-1.4885783377672164,-1.1433118190569638,-1.2935369153990657,-1.0989937515645873,-0.9202585663460277,-0.15375875234036254,0,0,0,0,1,0,1
24660005,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,231,93,0,0,15.78947368421053,0,NA,NA,0,0,100,0,0,41.25806452,2,131.7741935,1,2,1,1,262.644965,3860,0,7.903225806,4.49153416080391,-1.8951961493070233,9.879438629593521e-5,-0.3615080623840293,-1.1416380632451884,-0.9364597635082895,-0.28511787529266286,0,0,0,0,1,0,1
24660006,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,417,204,17.39130434782609,2.5,25.31645569620253,20,8.3,0,0,0,15.68627450980392,0,0,29.10294118,2.112745098,129.8529412,1,2,1,1,276.210345,3860,0,7.088235294,5.771497204546435,-0.06576310025180185,-0.9495293198273246,-1.1473363110045556,-1.1694456061378806,-0.9280631385070218,-0.41574419331124046,0,0,0,0,1,1,2
24660007,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,685,297,19.51219512195122,1.574803149606299,28.125,18.84057971014493,16,0,11.11,65.65656565656566,43.09764309764309,0,0,49.52525253,2.181818182,148.7037037,1,2.38047138,1,1,305.873127,3860,0,7,4.886539593459948,-4.842470600951432e-4,-0.46334325569589785,-0.2623165572535544,-1.1053460553549412,-0.9014744462197701,-0.42214026703317237,0,0,0,0,1,1,2
24660008,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,491,218,12.90322580645161,0,21.05263157894737,10.41666666666667,0,9.6,20.64,0,0,0,0,26.85779817,1.619266055,94.2706422,0,0.2064220183,0,1.206422018,256.570522,3860,0,12,11.86387080989555,-0.8180426422191607,-0.7873417548432712,-1.1739756144531313,-1.2124200071965137,-1.1449169872009184,0.2670223811659296,0,0,0,0,1,0,1
24660009,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,236,104,12.5,0,4.878048780487805,0,0,NA,0,0,0,0,0,25,1,85.92307692,0,0,0,1,273.951429,3860,0,12,11.10473702911079,-1.5150245271932745,-1.0163485347817025,-1.293536915399072,-1.2355299550728922,-1.1630505246355938,0.2727676092084037,0,0,0,0,1,0,1
24660010,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,709,392,15.38461538461539,0,13.4453781512605,32.83582089552239,25.8,8.5,0,0,86.73469387755102,0,0,19.67091837,3.318877551,78.28061224,0,1,0,1.066326531,177.861324,2815,1.637755102,2.880102041,12.2631824559977,-0.023275331069987356,0.7630635065628032,-0.4851445428860248,-1.2084236543643418,-1.195282698273386,0.13131262292418283,0,1,0,0,1,0,2
24660011,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,847,489,19.51219512195122,0,19.86754966887417,22.22222222222222,42.9,13.9,0,19.22290388548057,77.70961145194273,0,0,28.68507157,3.90797546,102.3394683,0,1.302658487,0.3026584867,1,289.64565700000003,2815,1.605316973,5.118609407,10.4012484761297,-0.10124086314161453,2.2287956850560735,-0.40378743856246235,-1.1567566977394235,-1.0837607826997153,0.45340748758006527,0,1,0,0,1,0,2
24660012,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,1065,536,19.67213114754098,2.252252252252252,28.69955156950673,23.40425531914894,19,7.2,0,97.38805970149254,26.11940298507463,0,0,40.48880597,4.742537313,163.5746269,0,0.4291044776,0,0.7388059701,308.5773,2815,0.5223880597,3.526119403,52.72431386140843,0.21548233045055123,0.24077357929050805,-0.21176634577432216,-1.0644632880930653,-1.165477578727222,-0.910340003393125,1,0,0,0,1,1,3
24660013,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,533,208,17.85714285714286,0,23.95833333333334,29.16666666666667,0,0,0,0,32.21153846153847,0,0,66.66346154,6.932692308,230.8461538,0,0.9038461538,0.9038461538,0,391.507388,2815,2,5.115384615,8.1617693500446,0.1509066539506604,-1.473600012332629,-0.9933160829374956,-0.9070385379110466,-1.0610021523429565,0.7640416349774992,1,0,0,0,1,0,2
24660014,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,527,202,9.67741935483871,0,34.54545454545455,11.32075471698113,0,0,0,0,0,0,0,66.12871287,5.712871287,245.3564356,0.2574257426,1.371287129,0.5891089109,0.4653465347,498.184333,2815,1.712871287,1.930693069,5.479747595502564,-0.6867071283141036,-1.473600012332629,-1.293536915399072,-0.9208736117443431,-0.9632847265164496,0.09774973608775626,0,0,0,0,1,0,1
24660015,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,484,258,32,3.296703296703297,25.55555555555555,36.66666666666666,16,17.6,0,100,0,0,0,63,5,226,0,1,0,1,417.639456,2815,0,3,2.25157224384106,1.263313440160577,0.7947968830345923,-0.43272276617156274,-0.9574691620426349,-1.0547151385956552,-0.9957729089335974,1,1,0,0,1,1,4
24660016,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,688,324,11.9047619047619,6.666666666666667,23.17880794701987,3.529411764705882,0,0,33.64,33.64197530864197,0,0,0,25.4537037,4,133.3395062,0,0,0,1,298.835404,2815,0,4,69.07618083505925,-0.7703184100733588,-1.473600012332629,-0.8090756479565789,-1.1381331029924322,-1.1498781152432624,-1.3531170568798667,0,0,0,0,1,1,2
24660017,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,515,291,12.5,0,16.19047619047619,15.625,24.2,12.5,0,42.61168384879725,0,0,0,88.37800687,7.773195876,317.1512027,1.10652921,4.704467354,1,1,442.175699,6605,1.573883162,5.109965636,19.35431500082988,-0.7358620223104614,0.9479787715196955,-0.926729511604532,-0.7716521004073933,-0.7560708649682194,0.36093862172295527,0,1,0,0,1,0,2
