ADIDU,Arr_Ville,Type,Pop2021,LogPriv2021,nblog2021_ilot,Mono_pr,ImmRecent_Pr,AutochMinor_pr,SansDiplome_pr,pr_men_bil,pr_ind_sfr,pr_log_Autor_AxesPS,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_TC,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_cultSportLoisir_2quintiles,Indice_emv
24660001,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,651,266,335,"14,70588235",0,"7,627118644","11,86440678",0,"2,608695652",0,0,100,0,0,"34,76315789","1,714285714","115,5676692","0,3120300752","1,781954887","0,507518797","0,4661654135","210,011436",3860,0,"7,030075188","9,046088815","-0,9292545545","-1,464960671","-0,3619225241","-1,174825696","-1,139114549","-0,4492103724",0,0,0,0,1,1,2
24660002,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,542,198,198,"11,76470588","1,923076923","11,53846154","10,34482759",0,"2,857142857",0,0,"55,55555556",0,0,"53,02020202",2,"156,2878788",1,3,1,"0,7575757576","253,133836",3860,0,"7,787878788","8,609630433","-0,961204281","-1,44380711","-0,7764411609","-1,094306883","-0,948841505","-0,3333679855",0,0,0,0,1,1,2
24660003,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,303,130,130,"12,5",0,"10,16949153","15,15151515",0,"6,666666667",0,0,100,0,0,"35,53846154","1,338461538","114,7307692","0,2307692308","2,338461538","0,6692307692",0,"203,688258",3860,0,4,"7,912477355","-0,8649853008","-1,11945252","-0,3619225241","-1,181061287","-1,166547896","-0,8905608225",0,0,0,0,1,1,2
24660004,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,273,116,116,15,0,0,0,,"1,818181818",0,0,0,0,0,"51,27586207",2,"156,1034483",1,3,1,1,"253,880316",3860,0,9,"8,639868124","-1,489255893","-1,094887583","-1,294589457","-1,098545354","-0,919710357","-0,1536028751",0,0,0,0,1,0,1
24660005,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,231,93,93,0,0,"15,78947368",0,,,0,0,100,0,0,"41,25806452",2,"131,7741935",1,2,1,1,"262,644965",3860,0,"7,903225806","4,491534161","-1,896266105","0,00003390720247","-0,3619225241","-1,141204547","-0,9359185193","-0,2849903534",0,0,0,0,1,0,1
24660006,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,417,204,204,"17,39130435","2,5","25,3164557",20,"8,3","3,614457831",0,0,"15,68627451",0,0,"29,10294118","2,112745098","129,8529412",1,2,1,1,"276,210345",3860,0,"7,088235294","5,771497205","-0,06694964886","-0,8329807442","-1,148288762","-1,169021487","-0,9275179816","-0,415725459",0,0,0,0,1,1,2
24660007,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,685,297,297,"19,51219512","1,57480315","28,125","18,84057971",16,"5,109489051","11,11","65,65656566","43,0976431",0,0,"49,52525253","2,181818182","148,7037037",1,"2,38047138",1,1,"305,873127",3860,0,7,"4,886539593","-0,001533787936","-0,1988378534","-0,2625999753","-1,104900078","-0,9009171219","-0,4221127304",0,0,0,0,1,1,2
24660008,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,491,218,218,"12,90322581",0,"21,05263158","10,41666667",0,"4,12371134","20,64",0,0,0,0,"26,85779817","1,619266055","94,2706422",0,"0,2064220183",0,"1,206422018","256,570522",3860,0,12,"11,86387081","-0,8189930104","-1,335967569","-1,17524844","-1,212010897","-1,144407161","0,2674191468",0,0,0,0,1,0,1
24660009,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,236,104,104,"12,5",0,"4,87804878",0,0,,0,0,0,0,0,25,1,"85,92307692",0,0,0,1,"273,951429",3860,0,12,"11,10473703","-1,515767139","-0,9918578436","-1,294589457","-1,23512843","-1,1625212","0,2731796388",0,0,0,0,1,0,1
24660010,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,709,392,392,"15,38461538",0,"13,44537815","32,8358209","25,8","8,955223881",0,0,"86,73469388",0,0,"19,67091837","3,318877551","78,28061224",0,1,0,"1,066326531","177,861324",2815,"1,637755102","2,880102041","12,26318246","-0,02463685655","0,7736833633","-0,4856436479","-1,208014598","-1,194778303","0,1304488952",0,1,0,0,1,0,2
24660011,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,847,489,489,"19,51219512",0,"19,86754967","22,22222222","42,9","10,58823529",0,"19,22290389","77,70961145",0,0,"28,68507157","3,90797546","102,3394683",0,"1,302658487","0,3026584867",1,"289,645657",2815,"1,605316973","5,118609407","10,40124848","-0,1022677463","2,038327882","-0,4041647448","-1,15633009","-1,083206333","0,4528157115",0,1,0,0,1,0,2
24660012,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,1065,536,536,"19,67213115","2,252252252","28,69955157","23,40425532",19,"5,164319249",0,"97,3880597","26,11940299",0,0,"40,48880597","4,742537313","163,5746269",0,"0,4291044776",0,"0,7388059701","308,5773",2815,"0,5223880597","3,526119403","52,72431386","0,2142992016","0,003305101952","-0,2117434102","-1,06400472","-1,164914809","-0,9117314087",1,0,0,0,1,1,3
24660013,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,533,208,208,"17,85714286",0,"23,95833333","29,16666667",0,"8,411214953",0,0,"32,21153846",0,0,"66,66346154","6,932692308","230,8461538",0,"0,9038461538","0,9038461538",0,"391,507388",2815,2,"5,115384615","8,16176935","0,149689605","-0,9709163058","-0,9941630891","-0,9065268766","-1,060323263","0,7634166945",1,0,0,0,1,0,2
