ogc_fid,hex_id,ACP_CultSportLoisir,ACP_sociale,ACP_econo,ACP_enviro,ACP_securite,ACP_proximite,Indice_emv
1,3,0,1,0,0,0,0,1
2,7,0,1,0,0,0,0,1
3,8,0,1,0,0,0,0,1
4,9,0,1,0,0,0,0,1
5,13,0,0,0,0,0,0,0
6,14,0,0,0,0,0,0,0
7,18,0,1,0,0,0,0,1
8,19,0,1,0,0,0,0,1
9,20,0,1,0,0,0,0,1
10,25,0,0,0,0,0,0,0
11,26,0,0,0,0,0,0,0
12,27,0,0,0,0,0,0,0
13,28,0,0,0,0,0,0,0
14,29,0,0,0,0,0,0,0
15,30,0,0,0,0,0,0,0
16,33,0,1,0,0,0,0,1
17,34,0,1,0,0,0,0,1
18,35,0,1,0,0,0,0,1
19,36,0,1,0,0,0,0,1
20,37,0,1,0,0,0,0,1
21,38,0,1,0,0,0,0,1
22,40,0,1,0,0,0,0,1
23,41,0,1,0,0,0,0,1
24,42,0,0,0,0,0,0,0
25,43,0,0,0,0,0,0,0
26,44,0,0,0,0,0,0,0
27,45,0,0,0,0,0,0,0
28,46,0,0,0,0,0,0,0
29,47,0,0,0,0,0,0,0
30,48,0,0,0,0,0,0,0
31,49,0,0,0,0,0,0,0
32,51,0,0,0,0,0,0,0
33,52,0,0,0,0,0,0,0
34,53,0,0,0,0,0,0,0
35,54,0,1,0,0,0,0,1
36,55,0,1,0,0,0,0,1
37,56,0,1,0,0,0,0,1
38,62,0,0,0,0,0,0,0
39,63,0,0,0,0,0,0,0
40,64,0,0,0,0,0,0,0
41,65,0,0,0,0,0,0,0
42,66,0,0,0,0,0,0,0
43,67,0,0,0,0,0,0,0
44,68,0,0,0,0,0,0,0
45,69,0,0,0,0,0,0,0
46,71,0,0,0,0,0,0,0
47,72,0,0,0,0,0,0,0
48,73,0,0,0,0,0,0,0
49,74,0,0,0,0,0,0,0
50,76,0,1,0,0,0,0,1
51,78,0,1,0,0,0,0,1
52,79,0,1,0,0,0,0,1
53,82,0,0,0,0,0,0,0
54,83,0,0,0,0,0,0,0
55,84,0,0,0,0,0,0,0
56,85,0,0,0,0,0,0,0
57,86,0,0,0,0,0,0,0
58,87,0,0,0,0,0,0,0
59,88,1,0,1,0,0,0,2
60,89,0,0,0,0,0,0,0
61,90,0,0,0,0,0,0,0
62,91,0,0,0,0,0,0,0
63,92,0,0,0,0,0,0,0
64,93,0,0,0,0,0,0,0
65,94,0,0,0,0,0,0,0
66,95,0,0,0,0,0,0,0
67,100,0,1,0,0,0,0,1
68,102,0,0,0,0,0,0,0
69,103,0,0,0,0,0,0,0
70,104,0,0,0,0,0,0,0
71,105,0,0,0,0,0,0,0
72,106,0,0,0,0,0,0,0
73,107,1,0,1,0,0,0,2
74,108,1,0,1,0,0,0,2
75,109,0,0,0,0,0,0,0
76,110,0,0,0,0,0,0,0
77,111,0,0,0,0,0,0,0
78,112,0,0,0,0,0,0,0
79,113,0,0,0,0,0,0,0
80,114,0,0,0,0,0,0,0
81,115,0,0,0,0,0,0,0
82,122,0,0,0,0,0,0,0
83,123,0,0,0,0,0,0,0
84,124,0,0,0,0,0,0,0
85,125,1,0,1,0,0,0,2
86,126,1,0,1,0,0,0,2
87,127,1,0,1,0,0,0,2
88,128,1,0,1,0,0,0,2
89,129,0,0,0,0,0,0,0
90,130,0,0,0,0,0,0,0
91,131,0,0,0,0,0,0,0
92,132,0,0,0,0,0,0,0
93,133,0,0,0,0,0,0,0
94,134,0,0,0,0,0,0,0
95,135,0,0,0,0,0,0,0
96,136,0,1,0,0,0,0,1
97,138,0,1,0,0,0,0,1
98,143,0,0,0,0,0,0,0
99,144,0,0,0,0,0,0,0
100,145,0,0,0,0,0,0,0
101,146,1,0,1,0,0,0,2
102,147,1,0,1,0,0,0,2
